strain	clade	q40ps	q40l	q40het	fps	fl	fhet	fdps	fdl	fdhet	lohl
CEC4856	13	35751	14118607	0.00253219032160892	27986	8493503	0.0032949891228625	27919	8454346	0.00330232521829601	5500000
CEC4859	13	35813	14116025	0.00253704566264228	28039	8492184	0.00330174193116871	28026	8489429	0.0033012821003627	5500000
CEC3494	11	83021	14183317	0.00585342624718886	66403	10311571	0.00643965890357541	65712	10268878	0.00639914117199562	1900000
CEC3658	1	61820	14207654	0.00435117578173004	46978	8347819	0.00562757769424565	46792	8323451	0.00562170666950523	4100000
CEC4259	1	67658	14218079	0.0047585893987507	52947	9478318	0.0055861177056942	52780	9452340	0.00558380252932078	2900000
CEC3712	E	87007	14204826	0.00612517182540638	76145	11481162	0.00663216841640245	75721	11435423	0.00662161775738423	1100000
CEC3669	2	79127	14164994	0.00558609484762224	64420	10773346	0.00597957217748321	64090	10749262	0.00596226978186968	1400000
CEC3683	4	67594	14177819	0.00476758801900349	54444	8595040	0.00633435097451553	53759	8550213	0.006287445704569	3700000
CEC1427	4	66760	14183270	0.00470695403810264	59188	9711789	0.0060944487158854	58621	9679390	0.00605627007487042	3900000
CEC3532	4	70094	14185623	0.00494119997408644	58848	9297895	0.00632917450670286	58192	9262857	0.00628229497659307	3300000
CEC4032	1	62289	14230793	0.00437705755399576	47213	8209451	0.00575105448586026	47086	8189046	0.00574987611499557	4100000
CEC4494	2	72442	14181711	0.00510812834925208	58427	10683723	0.00546878648950371	58104	10656703	0.00545234299951871	1500000
CEC4488	1	67748	14250002	0.00475424494677264	57701	9836077	0.00586626151869287	57209	9789990	0.00584362190359745	3200000
CEC3535	4	77626	14178909	0.00547475126612351	64579	10173552	0.00634773381017761	64207	10144807	0.00632905091245206	2000000
CEC4103	13	33799	14066391	0.00240281960027984	27028	8365287	0.00323097103542293	26986	8354093	0.00323027287342863	5600000
CEC3716	4	82972	14182123	0.0058504639961168	70016	11066683	0.00632673765029684	69234	11026411	0.0062789243027491	1100000
CEC723	NC	67358	14156111	0.00475822773641716	53701	9282591	0.00578513046626745	53342	9265132	0.00575728440782063	3000000
CEC5029	13	35443	14126141	0.00250903626121246	27852	8495230	0.0032785457250716	27833	8490966	0.00327795447538007	5500000
CEC5024	13	35506	14114096	0.00251564110092492	27942	8489059	0.00329153089877217	27917	8484345	0.00329041310790639	5500000
CEC3659	4	83338	14182681	0.00587603993913422	70719	11467922	0.00616667954316397	70214	11420299	0.00614817527982411	700000
CEC3541	4	74555	14190396	0.00525390552878158	67360	10579195	0.00636721414058442	66854	10546581	0.00633892633072272	2900000
NCYC4145	oak	108810	14178815	0.00767412509437495	89812	11463721	0.0078344544498248	88567	11357901	0.00779783165921238	700000
CEC3611	4	82838	14195173	0.00583564568040136	69553	11081901	0.00627626974830401	69151	11054113	0.00625568057789892	1100000
CEC5020	13	35441	14126740	0.0025087882979371	27833	8495733	0.00327611519806472	27814	8491557	0.00327548881789288	5500000
CEC3549	2	74686	14171559	0.00527013294726431	60270	10179358	0.00592080561465664	59923	10163180	0.00589608764186013	2200000
CEC3626	3	77547	14166125	0.00547411518675714	62461	9976124	0.00626104888030662	61921	9943390	0.00622735304559109	2200000
CEC5027	13	35656	14113274	0.00252641591171545	27845	8390204	0.00331875124847977	27828	8386308	0.00331826591630071	5600000
CEC5025	13	35313	14115934	0.00250164105329481	27745	8491789	0.00326727383358206	27728	8487988	0.00326673411885125	5500000
CEC3609	1	83886	14243842	0.00588928183842533	68416	11132960	0.00614535577240913	68245	11089384	0.00615408394190336	1200000
CEC3679	1	61853	14212593	0.00435198559474686	49151	8385187	0.00586164625785925	49037	8364356	0.0058626151254203	4300000
CEC3607	4	67631	14181262	0.00476903959605288	54619	9099542	0.00600239001039833	54185	9016277	0.00600968670328119	3100000
CEC4888	13	36075	14126604	0.00255369230991397	28192	8495746	0.00331836662725086	28173	8491426	0.00331781729005234	5400000
CEC4946	2	74632	14193567	0.00525815674100809	60141	10428933	0.00576674526531142	59615	10399049	0.00573273575304819	1800000
CEC3536	4	78377	14152277	0.00553811941357564	66076	10854870	0.00608722168022279	65422	10769686	0.00607464321615319	1300000
CEC4482	2	61831	14177234	0.00436128796350543	48153	9571835	0.00503069683085845	47572	9537313	0.00498798770681008	2800000
CEC3706	10	101011	14202436	0.00711223060607349	84857	11682091	0.00726385370564225	83938	11631118	0.00721667512959631	500000
CEC3530	4	77562	14174569	0.0054719124087653	64705	10570206	0.00612145118080007	64154	10540071	0.0060866762662225	1600000
CEC3610	4	76947	14202147	0.00541798363303802	64382	10310723	0.00624417899695298	63876	10277569	0.00621508841244462	2000000
